Heuristic,Run Time,Instance ID,Intensity Of Mutation,Depth Of Search,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Best Solution As String
Iterated Local Search,20,5,5,1,51.0, 45.0, 50.0, 52.0, 42.0, 38.0, 53.0, 55.0, 42.0, 54.0, 55.0, 53.0, 53.0, 48.0, 48.0, 49.0, 47.0, 48.0, 48.0, 47.0, 53.0, 56.0, 55.0, 54.0, 61.0, 45.0, 50.0, 54.0, 45.0, 53.0,100011001000100100011000110000110000100101110100000000100011010000111101000010000101011100000101000001101100000011100011100010010010000100100101100100011001111101010101110000111111110001001111001110111000001001000010000000100100100100101001010011001000000000001111101111001011110010101001111100111110011100111011101101111111111011111011101000111111000000000110011111100010111110111101100000000111101111111111111100000000000011000110000011100011100001110000000000110001100000000000111011000001001000000001001001000100010111110110011100000100100000110100000001100010101100000010100000100101111010100000100100010110101111000100000001100000001101111000100000010101111001100000001100000110101111000001
Iterated Local Search,20,5,5,1,51.0, 45.0, 50.0, 52.0, 42.0, 38.0, 53.0, 55.0, 42.0, 54.0, 55.0, 53.0, 53.0, 48.0, 48.0, 49.0, 47.0, 48.0, 48.0, 47.0, 53.0, 56.0, 55.0, 54.0, 61.0, 45.0, 50.0, 54.0, 45.0, 53.0,100011001000100100011000110000110000100101110100000000100011010000111101000010000101011100000101000001101100000011100011100010010010000100100101100100011001111101010101110000111111110001001111001110111000001001000010000000100100100100101001010011001000000000001111101111001011110010101001111100111110011100111011101101111111111011111011101000111111000000000110011111100010111110111101100000000111101111111111111100000000000011000110000011100011100001110000000000110001100000000000111011000001001000000001001001000100010111110110011100000100100000110100000001100010101100000010100000100101111010100000100100010110101111000100000001100000001101111000100000010101111001100000001100000110101111000001
