Heuristic,Maximum Generations,Instance ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Best Solution As String
Memetic Algorithm,75,1,30.0,28.0,36.0,31.0,23.0,30.0,28.0,31.0,30.0,32.0,28.0,34.0,30.0,34.0,27.0,32.0,35.0,31.0,33.0,31.0,24.0,34.0,31.0,28.0,27.0,29.0,37.0,31.0,26.0,24.0,1000100001010000101100010000001010100111011110001010100101100000011000111011110000000000010101100110000010011011101100011010001000101001100100000111101010111101011101100010011010001001100010000000010111001000110100110000000001110010001100101111100011001100000010101100000000000110110100001010010101110010101100110111111101000001001100101001000000110010111100110000110100111111101011100001010111001100100010110010001000100011101010000110110101011110111110111010100001000101101010110100110011010100001100011001011011101110110011011100111010010110001010111110110111001101111001000111110101110000111110110001001100011010101000111100000010010101111111110010000010011100011110011010100001001011111100101110
Memetic Algorithm,75,1,36.0,34.0,27.0,31.0,39.0,29.0,29.0,34.0,28.0,31.0,29.0,30.0,27.0,30.0,25.0,32.0,32.0,26.0,24.0,29.0,33.0,26.0,25.0,35.0,31.0,28.0,27.0,29.0,21.0,27.0,0000010011100000101100010011101111000111001111101010011000110000111000100000110001000000010100011010100110010001110110111110011000110110010011000011110000111111010101011110101100111010100010000000010001001100110100111011110010100100000110111100000101010100100010100100100110010101110101011000000111111110000010000011111011101100011110100111010000110010111100011000100011110110100000100111100111101000100010110011001010101001001011110100110101011110100100101010100011100001110011011100110001000011011000001001000001111100100001001100000111010101110010111100110011101101111101001101010101010100111010110011000100111010110001111100100111010101001111110001001011001100110110011010100011000011110100101100
